TenantId,OrgName,CountryCode,TotalUsers,EXOEnabledUsers,SPOEnabledUsers,CloudEnabledUsers,CloudActiveUsers,WXPCloudUsers,WXPCloudCollaborators,WXPCloudContributors,WXPCloudCoauthors,TotalMailUsers,TotalAttachments,UsersSentAttachment,OWAMailUsers,TotalOWAMails,TotalGoogleLinks,UsersSentGoogleLink,TotalSPOLinks,UsersSentSPOLink,GoogleAddinDevices,GoogleAddinUsers,Xcoord1,Ycoord1,Xcoord,Ycoord,Legend,CoauthorRatio2,CoauthorRatio
36e239cb-21c9-4be5-a971-7dd7e09677ed,USSC,PH,1302,1298,1298,1302,1086,391,213,159,119,1253,5069339,1251,1074,12639,0,0,310,105,0,0,0.026078593,1.396658194,0.016858974,1,Others,0.091397849,9.139784946
e1812bfb-4b83-4575-8bb8-3a688260f3fa,豊島株式会社,JP,649,649,9,649,1,1,0,0,0,624,2427102,622,582,58559,14,6,0,0,0,0,1.035527808,1.367767544,0.669435504,0.979314445,Sent Google links,0,0
291ece9f-fffe-4eba-810a-d4b1d5055725,ETS ERSOY TURISTIK SERVISLERI A.S.,TR,751,747,742,751,449,279,154,79,73,730,6759526,729,556,12324,21,11,41,28,0,0,0.037312174,1.366238002,0.024121123,0.978219301,Sent Google links,0.097203728,9.720372836
181fd36c-1300-44a9-8444-f72fb76b5fb8,株式会社インソース,JP,343,343,0,343,0,0,0,0,0,306,461305,304,265,21378,0,0,0,0,0,0,0.727174641,1.365101671,0.470095074,0.977405694,Others,0,0
77410195-14e1-4fb8-904b-ab1892023667,UNICEF,DK,16358,16349,15925,16358,12669,6697,3979,1840,1534,15899,104875195,15699,1416,12177,851,106,938,270,1,1,0.535781221,1.337324983,0.34636537,0.95751773,Sent Google links,0.093776745,9.377674532
992ecb51-350e-4fd5-b598-2c4770cdd6c4,株式会社　スペース,JP,964,961,2,964,2,3,3,3,3,914,1167034,911,735,13275,0,0,4,1,0,0,0.972381325,1.327708345,0.628613329,0.950632267,Others,0.003112033,0.31120332
47eede07-0129-40ef-a5d4-9e87787f923d,KELLY SERVICES,US,12197,11639,11101,12197,8210,6462,4815,2855,2474,12395,125452364,12167,1064,12498,17,11,677,192,4,4,0.213029625,1.322972797,0.137716818,0.947241639,Sent Google links,0.202836763,20.28367631
d8bde65a-3ded-4346-9518-670204e6e184,STEFANINI CONSULTORIA E ASSESSORIA EM INFORMATICA S.A.,BR,7677,7642,7642,7677,3119,1985,1173,842,664,6782,35271674,6667,4214,53325,64,22,329,154,0,0,0.757305268,1.321250387,0.489573559,0.946008403,Sent Google links,0.086492119,8.649211932
690b1da9-8626-43a5-9dc7-dc7a867c9bc4,MIRAKL  A.S.,SK,369,369,369,369,128,32,4,2,1,315,1041125,313,232,2707,0,0,4,2,0,0,0.589386455,1.319943759,0.381019433,0.945072864,Others,0.002710027,0.27100271
ddd1b77e-1fa8-4ab1-8e72-7aa36254818f,NATIONAL DEVELOPMENT BANK PLC,LK,2311,2311,8,2311,3,2,2,2,2,2152,12714669,2151,1891,21073,3,2,0,0,0,0,1.072857615,1.319939274,0.693568027,0.945069652,Sent Google links,0.000865426,0.086542622
1092197f-937b-439b-a403-93295587e186,IPSOS,GB,17026,16770,16146,17026,9004,6194,3046,1456,1128,16799,354523318,16458,1960,10766,50,28,349,142,21,20,0.675228942,1.319334391,0.436513847,0.944636559,Sent Google links,0.066251615,6.625161518
239fe1d3-6c8b-410b-8731-9e404adf8f9b,SOLOCAL MARKETING SERVICES,FR,432,421,420,432,214,142,107,93,85,437,1817003,427,277,7720,4,2,52,17,0,0,0.133214095,1.309291423,0.086118638,0.937445847,Sent Google links,0.196759259,19.67592593
014be975-9a3f-4161-87d9-e620e4a154fa,EASTWEST BANK,PH,6120,6094,6077,6120,4413,1989,1029,377,170,5465,34200301,5432,3075,18803,2,1,558,177,0,0,0.335941096,1.308387844,0.21717514,0.936798889,Sent Google links,0.027777778,2.777777778
20210462-2c5e-4ec8-b3e2-0be950f292ca,TATA COMMUNICATIONS,IN,10928,10708,10642,10928,6727,3998,3037,1431,1073,10197,224309747,10052,898,13729,14,5,443,147,4,4,0.608288318,1.294387549,0.393238881,0.926774751,Sent Google links,0.098188141,9.818814056
3e32dd7c-41f6-492d-a1a3-c58eb02cf4f8,SAGE SOFTWARE  INC.,US,16866,16650,16491,16866,9840,6958,5830,3582,3085,15336,72827486,14916,1805,20464,198,35,295,113,16,15,0.607019678,1.288012272,0.392418746,0.922210085,Sent Google links,0.182912368,18.29123681
44410278-974c-449d-b0b3-c2669a0a5984,八洲電機株式会社,JP,934,933,932,934,804,133,4,2,0,876,581320,874,592,6524,0,0,4,2,0,0,0.69184293,1.286712043,0.447254257,0.921279128,Others,0,0
c132308d-5146-4904-96cf-b2f06ffd3242,CLUES NETWORK PVT. LTD.,IN,1184,1135,1136,1184,754,592,471,345,315,1117,6203952,1113,721,26428,934,162,1513,214,0,0,-0.078933531,1.28660786,-0.051027995,0.921204534,Sent Google links,0.266047297,26.60472973
0b0a6283-f089-4012-a69b-ead5c902d243,UNION BANK OF COLOMBO PLC,LK,1109,1109,264,1109,73,37,4,1,0,1081,4180465,1078,607,4055,4,4,4,2,0,0,0.553161245,1.285575159,0.357600997,0.920465125,Sent Google links,0,0
599e51d6-2f8c-4347-8e59-1f795a51a98c,CONCENTRIX CORPORATION,US,15923,15440,15440,15923,9053,5797,4260,2930,2318,14266,165155786,14070,2818,50044,538,65,1521,347,130,62,0.710730169,1.28070126,0.459464252,0.916975439,Sent Google links,0.145575582,14.55755825
25fac993-4464-4940-a2ae-30bcd5a8e4ee,岡本無線電機株式会社,JP,618,618,4,618,2,1,0,0,0,553,1185572,548,478,22450,0,0,0,0,0,0,0.96692799,1.280119663,0.625087922,0.916559018,Others,0,0
a161d5e3-2ef7-4a15-87fe-4a0b6a295fac,ICIMS  INC,US,663,662,662,663,619,590,520,385,339,672,29027893,648,95,618,0,0,19,11,3,3,-0.168706646,1.278745783,-0.109063434,0.915575327,Have Google Addin,0.511312217,51.13122172
c22acb6e-38c1-494b-90f8-7fd2f61bcef3,FOCUSVISION WORLDWIDE  INC,US,555,532,7,555,1,3,0,0,0,512,16268923,501,163,12831,5285,109,0,0,0,0,1.018491354,1.277974514,0.658421983,0.915023103,Sent Google links,0,0
ad6a39dd-96b6-4368-82da-f2ec4d92e26a,TATA ELXSI,IN,5727,5621,5461,5727,2004,1105,622,383,242,5021,8919251,4929,3289,67685,95,18,573,227,0,0,0.825772766,1.276749411,0.533835599,0.914145935,Sent Google links,0.04225598,4.225598044
acbd4e6b-e845-4677-853c-a8d24faf3655,CANON EMEA,NL,20636,18960,19920,20636,15384,10701,7600,4341,3187,18327,205100525,17862,1886,13004,15,6,504,187,20,18,0.263998111,1.275994819,0.170666309,0.913605651,Sent Google links,0.154438845,15.44388447
3f5e448d-3631-4760-8ccc-88de48f56fb1,ALGOSEC SYSTEMS LTD.,IL,275,273,273,275,146,106,83,55,48,262,1660030,259,55,564,29,6,3,3,140,128,0.154332695,1.268322156,0.099771136,0.908112064,Sent Google links,0.174545455,17.45454545
f039b656-fc02-4e54-88ba-82626f29b5a1,HILTI,CH,29945,29475,29472,29945,18524,15187,12094,6547,5326,24268,185183026,23826,905,3507,0,0,722,294,3,3,0.918650495,1.267994215,0.593878071,0.907877261,Have Google Addin,0.177859409,17.78594089
2e0565a8-53ce-4c58-9dda-5ea21ae6b16d,CO-OPERATORS,CA,8305,8291,8239,8305,4391,3561,2959,1387,1139,8946,38244872,8792,138,452,0,0,34,17,4,3,0.293424427,1.2671561,0.189689478,0.907277175,Have Google Addin,0.137146297,13.71462974
5d135798-0ae4-4f20-a663-a223e2cd1f4e,J.B. HUNT TRANSPORT,US,7017,6807,6785,7017,4497,3812,2626,1500,1106,6790,74406225,6741,462,5234,42,24,105,34,3,3,0.249808285,1.267101514,0.161493041,0.907238091,Sent Google links,0.157617215,15.76172153
